1bcf332e AUTORUN.INF
4b9cc465 DirectX/DIRECTX/D3D.INF
b0bcecda DirectX/DIRECTX/D3DIM.DLL
6391ce6f DirectX/DIRECTX/D3DPMESH.DLL
18264a14 DirectX/DIRECTX/D3DRAMP.DLL
41ef8070 DirectX/DIRECTX/D3DRM.DLL
ca6eca4b DirectX/DIRECTX/D3DRM.INF
b8e8e0e3 DirectX/DIRECTX/D3DXOF.DLL
a52fd896 DirectX/DIRECTX/DDHELP.EXE
8c7a02c3 DirectX/DIRECTX/DDRAW.DLL
70f71ce5 DirectX/DIRECTX/DDRAW.INF
ddb7d5ad DirectX/DIRECTX/DDRAW.VXD
e5237cb5 DirectX/DIRECTX/DDRAW16.DLL
4ef2feb3 DirectX/DIRECTX/DDRAWEX.DLL
18ae6bb9 DirectX/DIRECTX/DIJOY.HLP
05122f0c DirectX/DIRECTX/DIJOYBRZ.HLP
9cd9f269 DirectX/DIRECTX/DIJOYCHS.HLP
d4ad0098 DirectX/DIRECTX/DIJOYCHT.HLP
36256c2b DirectX/DIRECTX/DIJOYCZE.HLP
9254428c DirectX/DIRECTX/DIJOYDUT.HLP
37b7ec03 DirectX/DIRECTX/DIJOYFRN.HLP
a6c47076 DirectX/DIRECTX/DIJOYGER.HLP
8c26493a DirectX/DIRECTX/DIJOYITN.HLP
4cab7f26 DirectX/DIRECTX/DIJOYJPN.HLP
e1c265a6 DirectX/DIRECTX/DIJOYKOR.HLP
4cab7f26 DirectX/DIRECTX/DIJOYNEC.HLP
39bca4c5 DirectX/DIRECTX/DIJOYPOL.HLP
64c8c596 DirectX/DIRECTX/DIJOYRUS.HLP
557760b7 DirectX/DIRECTX/DIJOYSPA.HLP
0d4d8cb0 DirectX/DIRECTX/DIJOYSWE.HLP
9a4175d0 DirectX/DIRECTX/DINPUT.DLL
9e4f1c64 DirectX/DIRECTX/DINPUT.INF
09e81fd9 DirectX/DIRECTX/DINPUT.VXD
33dfae0c DirectX/DIRECTX/DIRECTX.INF
812883ae DirectX/DIRECTX/DMBAND.DLL
afd78814 DirectX/DIRECTX/DMCOMPOS.DLL
d421c89e DirectX/DIRECTX/DMIME.DLL
31d23b26 DirectX/DIRECTX/DMLOADER.DLL
389fd2cb DirectX/DIRECTX/DMSTYLE.DLL
d9f0df9e DirectX/DIRECTX/DMSYNTH.DLL
74ac6170 DirectX/DIRECTX/DMUSIC.DLL
b739a42f DirectX/DIRECTX/DMUSIC16.DLL
11f0470a DirectX/DIRECTX/DMUSIC32.DLL
bb12f168 DirectX/DIRECTX/DPLAY.DLL
9219ed9a DirectX/DIRECTX/DPLAY.INF
5bf47055 DirectX/DIRECTX/DPLAYDX2.INF
952060cd DirectX/DIRECTX/DPLAYSVR.EXE
66e93e63 DirectX/DIRECTX/DPLAYX.DLL
87f2288f DirectX/DIRECTX/DPMODEMX.DLL
8d3fb037 DirectX/DIRECTX/DPSERIAL.DLL
1173f3d0 DirectX/DIRECTX/DPWSOCK.DLL
22e49292 DirectX/DIRECTX/DPWSOCKX.DLL
d4bd8f84 DirectX/DIRECTX/DRIVERS/ENG/5631_DIG.INI
90b4a25e DirectX/DIRECTX/DRIVERS/ENG/5631_HWC.INI
5bdfe86e DirectX/DIRECTX/DRIVERS/ENG/5631_SWC.INI
940dcff8 DirectX/DIRECTX/DRIVERS/ENG/8811_DIG.INI
d0df3253 DirectX/DIRECTX/DRIVERS/ENG/8811_HWC.INI
6a78e3dc DirectX/DIRECTX/DRIVERS/ENG/8811_SWC.INI
6d910401 DirectX/DIRECTX/DRIVERS/ENG/8814_DIG.INI
